,countyFIPS,County Name,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20
1,34001,Atlantic County,0,164,11294,51979,76442,95780,110715,117629,144160,143979
2,34003,Bergen County,0,15881,322111,534325,565409,618411,653323,661720,734944,652622
3,34005,Burlington County,0,1035,41494,118942,147543,168521,189993,204122,241893,232633
4,34007,Camden County,0,1111,52623,163864,209890,241403,271588,286980,333831,325598
5,34009,Cape May County,0,65,5185,15158,20168,23257,26431,29235,33289,30100
6,34011,Cumberland County,0,74,8293,48516,81206,95329,105845,110976,120926,100481
7,34013,Essex County,0,8744,257145,499652,550290,591911,617525,621876,699998,665858
8,34015,Gloucester County,0,478,19166,56227,72454,87007,105308,124309,158885,155071
9,34017,Hudson County,0,6829,264998,533051,560501,594658,615234,612744,674254,601497
10,34019,Hunterdon County,0,525,10828,25302,31242,34134,36241,38067,45822,43848
11,34021,Mercer County,0,1463,60025,177092,220861,242633,253844,255391,277504,246594
12,34023,Middlesex County,0,6603,202870,445909,493000,532878,560618,568492,647256,577934
13,34025,Monmouth County,0,6247,121507,224791,262351,297350,323630,339365,407398,373173
14,34027,Morris County,0,4166,103738,185414,198574,215149,227155,230648,261564,247477
15,34029,Ocean County,0,4963,121739,242264,277480,308184,333934,362263,483064,420892
16,34031,Passaic County,0,5617,211237,462297,498576,531084,555201,561616,618049,551186
17,34033,Salem County,0,30,3019,14046,21377,25613,28710,30762,35052,30162
18,34035,Somerset County,0,2132,60288,129670,142490,156196,164212,168395,190335,169899
19,34037,Sussex County,0,600,16770,32396,34770,38498,41818,43255,50005,46131
20,34039,Union County,0,6030,229648,450261,486629,506050,522010,521442,581902,535685
21,34041,Warren County,0,372,14754,33143,36138,39642,42224,42654,46808,44354
